County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid8,Organizationid9,OrganizationLevel (PublicDirectory),OrganizationName,School Code,School Name,School Organization Id,SchoolYear,Avg. Average Class Size
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McGilvra Elementary School,2201,101066,101066,School,McGilvra Elementary School,2201.0,McGilvra Elementary School,101066.0,2018-19,21
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Queen Anne Elementary,5204,105167,105167,School,Queen Anne Elementary,5204.0,Queen Anne Elementary,105167.0,2018-19,21
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Eckstein Middle School,2729,101101,101101,School,Eckstein Middle School,2729.0,Eckstein Middle School,101101.0,2018-19,22
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Kimball Elementary School,3478,101130,101130,School,Kimball Elementary School,3478.0,Kimball Elementary School,101130.0,2018-19,22
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Martin Luther King Jr. Elementary School,2089,101044,101044,School,Martin Luther King Jr. Elementary School,2089.0,Martin Luther King Jr. Elementary School,101044.0,2018-19,22
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Robert Eagle Staff Middle School,5486,106069,106069,School,Robert Eagle Staff Middle School,5486.0,Robert Eagle Staff Middle School,106069.0,2018-19,22
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Viewlands Elementary School,2977,101113,101113,School,Viewlands Elementary School,2977.0,Viewlands Elementary School,101113.0,2018-19,22
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bryant Elementary School,2372,101087,101087,School,Bryant Elementary School,2372.0,Bryant Elementary School,101087.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Edmonds S. Meany Middle School,5485,106068,106068,School,Edmonds S. Meany Middle School,5485.0,Edmonds S. Meany Middle School,106068.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Emerson Elementary School,2118,101049,101049,School,Emerson Elementary School,2118.0,Emerson Elementary School,101049.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hamilton International Middle School,2371,101086,101086,School,Hamilton International Middle School,2371.0,Hamilton International Middle School,101086.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Jane Addams Middle School,5351,105777,105777,School,Jane Addams Middle School,5351.0,Jane Addams Middle School,105777.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madrona K-5 School,2069,101038,101038,School,Madrona K-5 School,2069.0,Madrona K-5 School,101038.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - North Beach Elementary School,3218,101122,101122,School,North Beach Elementary School,3218.0,North Beach Elementary School,101122.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Wing Luke Elementary School,3581,101136,101136,School,Wing Luke Elementary School,3581.0,Wing Luke Elementary School,101136.0,2018-19,23
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Alki Elementary School,2181,101061,101061,School,Alki Elementary School,2181.0,Alki Elementary School,101061.0,2018-19,24
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bailey Gatzert Elementary School,2307,101081,101081,School,Bailey Gatzert Elementary School,2307.0,Bailey Gatzert Elementary School,101081.0,2018-19,24
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hawthorne Elementary School,4248,101174,101174,School,Hawthorne Elementary School,4248.0,Hawthorne Elementary School,101174.0,2018-19,24
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Rogers Elementary School,2975,101111,101111,School,John Rogers Elementary School,2975.0,John Rogers Elementary School,101111.0,2018-19,24
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Thurgood Marshall Elementary,2141,101056,101056,School,Thurgood Marshall Elementary,2141.0,Thurgood Marshall Elementary,101056.0,2018-19,24
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Beacon Hill International School,2070,101039,101039,School,Beacon Hill International School,2070.0,Beacon Hill International School,101039.0,2018-19,25
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Concord International School,2199,101064,101064,School,Concord International School,2199.0,Concord International School,101064.0,2018-19,25
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Laurelhurst Elementary School,2437,101093,101093,School,Laurelhurst Elementary School,2437.0,Laurelhurst Elementary School,101093.0,2018-19,25
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Rising Star Elementary School,2120,101051,101051,School,Rising Star Elementary School,2120.0,Rising Star Elementary School,101051.0,2018-19,25
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Stephen Decatur Elementary School,5488,106071,106071,School,Stephen Decatur Elementary School,5488.0,Stephen Decatur Elementary School,106071.0,2018-19,25
