index,OrganizationLevel,SchoolCode,SchoolOrganizationid,CurrentSchoolType,SchoolYear,StudentGroupType,StudentGroup,GradeLevel,Suppression,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,Attendance,DisciplineRate,Avg. Average Class Size,Teacherexp_mean,Female,Asian,Black/ African American,Hispanic/ Latino of any race(s),White,English Language Learners,Foster Care,Homeless,Low-Income,Students with Disabilities
199,School,5292.0,105540.0,P,2018-19,All,All Students,5th Grade,None,95.8,0.7,2.1,15.3,80.6,90.5,1.5,36.0,7.3,49.30555555555556,12.5,0.6944444444444444,1.3888888888888888,69.44444444444444,0.0,0.0,0.0,2.7777777777777777,6.944444444444445
219,School,2838.0,101106.0,P,2018-19,All,All Students,5th Grade,None,72.1,14.0,8.1,43.0,29.1,90.5,2.5,26.0,10.3,40.69767441860465,4.651162790697675,1.1627906976744187,5.813953488372093,79.06976744186046,2.3255813953488373,2.3255813953488373,1.1627906976744187,9.30232558139535,11.627906976744185
242,School,5487.0,106070.0,P,2018-19,All,All Students,5th Grade,N<10,,,,,,90.5,2.5,13.0,6.2,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,20.0,0.0
256,School,2199.0,101064.0,P,2018-19,All,All Students,5th Grade,None,11.1,50.8,33.3,11.1,0.0,90.5,4.5,25.0,9.7,60.65573770491803,11.475409836065573,8.19672131147541,57.377049180327866,16.39344262295082,36.0655737704918,0.0,6.557377049180328,83.60655737704919,13.114754098360656
279,School,2450.0,101094.0,P,2018-19,All,All Students,5th Grade,None,75.4,8.2,14.8,32.8,42.6,90.5,4.5,17.0,11.6,50.79365079365079,14.285714285714286,3.1746031746031744,7.936507936507937,63.492063492063494,3.1746031746031744,0.0,1.5873015873015872,12.698412698412698,25.396825396825395
300,School,3803.0,101145.0,P,2018-19,All,All Students,5th Grade,None,42.0,20.0,38.0,34.0,8.0,90.5,4.5,20.0,9.3,44.23076923076923,53.84615384615385,36.53846153846154,3.8461538461538463,0.0,23.076923076923077,1.9230769230769231,3.8461538461538463,86.53846153846153,19.23076923076923
319,School,2321.0,101082.0,P,2018-19,All,All Students,5th Grade,None,38.2,29.4,29.4,35.3,2.9,90.5,6.5,20.0,13.4,44.44444444444444,27.77777777777778,41.666666666666664,22.22222222222222,2.7777777777777777,27.77777777777778,0.0,19.444444444444443,66.66666666666667,16.666666666666668
339,School,2118.0,101049.0,P,2018-19,All,All Students,5th Grade,None,11.8,68.6,19.6,9.8,2.0,90.5,4.5,23.0,5.5,51.06382978723404,17.02127659574468,42.5531914893617,25.53191489361702,6.382978723404255,38.297872340425535,0.0,19.148936170212767,76.59574468085107,23.404255319148938
360,School,3518.0,101135.0,P,2018-19,All,All Students,5th Grade,None,82.8,10.1,6.1,27.3,55.6,90.5,2.5,28.0,10.6,48.45360824742268,3.0927835051546393,3.0927835051546393,10.309278350515465,58.76288659793814,2.0618556701030926,0.0,1.0309278350515463,10.309278350515465,18.556701030927837
382,School,2090.0,101045.0,P,2018-19,All,All Students,5th Grade,None,89.8,3.4,6.8,29.5,60.2,90.5,2.5,28.0,11.3,49.438202247191015,5.617977528089888,1.1235955056179776,11.235955056179776,75.28089887640449,2.247191011235955,1.1235955056179776,0.0,6.741573033707865,15.730337078651685
404,School,2139.0,101055.0,P,2018-19,All,All Students,5th Grade,None,65.5,9.1,25.5,34.5,30.9,90.5,4.5,26.0,11.0,62.264150943396224,0.0,3.7735849056603774,16.9811320754717,69.81132075471699,3.7735849056603774,0.0,1.8867924528301887,22.641509433962263,13.20754716981132
426,School,3429.0,101129.0,P,2018-19,All,All Students,5th Grade,None,78.4,4.5,15.3,36.9,41.4,90.5,2.5,33.0,10.0,47.747747747747745,0.9009009009009009,4.504504504504505,9.90990990990991,72.07207207207207,1.8018018018018018,0.0,0.9009009009009009,9.90990990990991,15.315315315315315
448,School,3378.0,101126.0,P,2018-19,All,All Students,5th Grade,None,45.5,34.1,18.2,22.7,22.7,90.5,5.5,19.0,7.5,45.65217391304348,26.08695652173913,19.565217391304348,13.043478260869565,23.91304347826087,26.08695652173913,0.0,6.521739130434782,67.3913043478261,21.73913043478261
468,School,2061.0,101036.0,P,2018-19,All,All Students,5th Grade,None,74.5,5.9,17.6,45.1,29.4,90.5,4.5,27.0,11.7,48.148148148148145,7.407407407407407,1.8518518518518519,7.407407407407407,70.37037037037037,5.555555555555555,0.0,0.0,12.962962962962964,20.37037037037037
489,School,2123.0,101053.0,P,2018-19,All,All Students,5th Grade,None,82.4,5.9,11.8,43.1,39.2,90.5,5.5,26.0,15.0,52.0,6.0,8.0,4.0,74.0,2.0,0.0,6.0,10.0,24.0
511,School,4248.0,101174.0,P,2018-19,All,All Students,5th Grade,None,65.4,23.1,11.5,32.7,32.7,90.5,8.1,24.0,8.8,44.23076923076923,17.307692307692307,30.76923076923077,13.461538461538462,28.846153846153847,15.384615384615385,0.0,7.6923076923076925,57.69230769230769,17.307692307692307
531,School,5175.0,104944.0,P,2018-19,All,All Students,5th Grade,None,75.3,4.7,17.6,21.2,54.1,90.5,2.5,20.0,13.8,59.30232558139535,9.30232558139535,16.27906976744186,5.813953488372093,58.13953488372093,6.976744186046512,0.0,1.1627906976744187,23.25581395348837,17.441860465116278
554,School,2269.0,101077.0,P,2018-19,All,All Students,5th Grade,None,34.6,36.5,23.1,26.9,7.7,90.5,4.5,26.0,7.1,54.54545454545455,20.0,16.363636363636363,27.272727272727273,14.545454545454545,18.181818181818183,3.6363636363636362,12.727272727272727,81.81818181818181,20.0
576,School,2063.0,101037.0,P,2018-19,All,All Students,5th Grade,None,76.1,8.5,15.5,38.0,38.0,90.5,3.5,28.0,8.9,54.285714285714285,14.285714285714286,5.714285714285714,5.714285714285714,62.857142857142854,2.857142857142857,0.0,1.4285714285714286,14.285714285714286,17.142857142857142
599,School,2143.0,101058.0,P,2018-19,All,All Students,5th Grade,None,34.0,35.8,28.3,20.8,13.2,90.5,5.1,26.0,9.4,43.63636363636363,10.909090909090908,41.81818181818182,9.090909090909092,20.0,18.181818181818183,1.8181818181818181,5.454545454545454,78.18181818181819,14.545454545454545
622,School,2975.0,101111.0,P,2018-19,All,All Students,5th Grade,None,67.3,5.8,23.1,32.7,34.6,90.5,4.5,24.0,9.6,50.90909090909091,12.727272727272727,12.727272727272727,25.454545454545453,38.18181818181818,12.727272727272727,1.8181818181818181,10.909090909090908,43.63636363636363,14.545454545454545
645,School,2081.0,101042.0,P,2018-19,All,All Students,5th Grade,None,82.2,2.7,8.2,42.5,39.7,90.5,3.5,31.0,9.4,50.0,17.56756756756757,1.3513513513513513,16.216216216216218,37.83783783783784,4.054054054054054,0.0,1.3513513513513513,9.45945945945946,9.45945945945946
667,School,3478.0,101130.0,P,2018-19,All,All Students,5th Grade,None,44.1,27.1,27.1,27.1,16.9,90.5,4.5,22.0,13.3,50.0,40.0,21.666666666666668,10.0,18.333333333333332,28.333333333333332,0.0,0.0,50.0,15.0
688,School,2733.0,101105.0,P,2018-19,All,All Students,5th Grade,None,70.7,10.7,18.7,26.7,44.0,90.5,3.5,37.0,11.9,48.68421052631579,7.894736842105263,2.6315789473684212,10.526315789473685,69.73684210526316,3.9473684210526314,0.0,0.0,13.157894736842104,15.789473684210526
709,School,2437.0,101093.0,P,2018-19,All,All Students,5th Grade,None,72.2,7.4,20.4,42.6,29.6,90.5,4.5,25.0,12.4,40.67796610169491,13.559322033898304,5.084745762711864,8.474576271186441,62.71186440677966,13.559322033898304,1.694915254237288,3.389830508474576,27.11864406779661,28.8135593220339
731,School,2183.0,101063.0,P,2018-19,All,All Students,5th Grade,None,83.6,9.8,6.6,37.7,45.9,90.5,4.5,27.0,12.6,41.53846153846154,3.076923076923077,6.153846153846154,7.6923076923076925,70.76923076923077,4.615384615384615,0.0,1.5384615384615385,9.23076923076923,24.615384615384617
752,School,2121.0,101052.0,P,2018-19,All,All Students,5th Grade,None,38.2,39.7,17.6,23.5,14.7,88.5,4.2,18.0,8.2,51.470588235294116,4.411764705882353,51.470588235294116,8.823529411764707,26.470588235294116,5.882352941176471,0.0,13.235294117647058,52.94117647058823,23.529411764705884
774,School,3874.0,101152.0,A,2018-19,All,All Students,5th Grade,Cross Grade Level - N<10,52.6,26.3,15.8,26.3,26.3,90.5,9.5,14.0,9.1,70.0,5.0,15.0,15.0,35.0,5.0,0.0,15.0,70.0,30.0
795,School,5276.0,105493.0,P,2018-19,All,All Students,5th Grade,None,56.8,13.6,19.8,28.4,28.4,90.5,2.5,15.0,9.4,33.333333333333336,7.407407407407407,11.11111111111111,12.345679012345679,51.851851851851855,8.641975308641975,0.0,3.7037037037037037,22.22222222222222,24.691358024691358
816,School,3714.0,101138.0,P,2018-19,All,All Students,5th Grade,None,51.5,9.1,18.2,42.4,9.1,90.5,5.5,20.0,9.5,35.8974358974359,30.76923076923077,23.076923076923077,17.94871794871795,12.820512820512821,17.94871794871795,0.0,10.256410256410257,82.05128205128206,28.205128205128204
839,School,2462.0,101096.0,P,2018-19,All,All Students,5th Grade,None,73.9,7.2,18.8,27.5,46.4,90.5,3.5,28.0,14.6,46.3768115942029,2.898550724637681,1.4492753623188406,8.695652173913043,76.81159420289855,0.0,0.0,2.898550724637681,11.594202898550725,13.043478260869565
859,School,2069.0,101038.0,P,2018-19,All,All Students,5th Grade,None,42.3,38.5,15.4,26.9,15.4,86.5,16.7,23.0,4.8,36.0,4.0,56.0,0.0,32.0,4.0,0.0,0.0,52.0,24.0
878,School,2353.0,101085.0,P,2018-19,All,All Students,5th Grade,None,59.3,17.3,22.2,30.9,28.4,90.5,3.5,32.0,9.3,42.16867469879518,54.21686746987952,7.228915662650603,22.89156626506024,9.63855421686747,26.50602409638554,0.0,4.819277108433735,66.26506024096386,12.048192771084338
899,School,2089.0,101044.0,P,2018-19,All,All Students,5th Grade,None,34.9,25.6,39.5,23.3,11.6,90.5,5.5,22.0,9.3,47.82608695652174,23.91304347826087,43.47826086956522,13.043478260869565,0.0,23.91304347826087,0.0,8.695652173913043,82.6086956521739,17.391304347826086
920,School,5203.0,105166.0,P,2018-19,All,All Students,5th Grade,None,87.4,1.1,8.0,36.8,50.6,90.5,2.5,30.0,9.2,42.04545454545455,4.545454545454546,1.1363636363636365,11.363636363636363,70.45454545454545,1.1363636363636365,0.0,1.1363636363636365,5.681818181818182,7.954545454545454
940,School,2201.0,101066.0,P,2018-19,All,All Students,5th Grade,None,68.4,13.2,18.4,23.7,44.7,90.5,6.5,21.0,11.2,55.81395348837209,9.30232558139535,6.976744186046512,11.627906976744185,55.81395348837209,0.0,0.0,2.3255813953488373,6.976744186046512,32.55813953488372
