County1,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization (LU Organization),OrganizationLevel (PublicDirectory)1,s/d/st,School Code,School Name,School Organization Id,School Year,N_MEAN
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Orca K-8 School,School,Orca K-8 School,4065.0,Orca K-8 School,101168.0,2018-19,13.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Pathfinder K-8 School,School,Pathfinder K-8 School,1620.0,Pathfinder K-8 School,100990.0,2018-19,13.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Queen Anne Elementary,School,Queen Anne Elementary,5204.0,Queen Anne Elementary,105167.0,2018-19,6.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Rainier Beach High School,School,Rainier Beach High School,3327.0,Rainier Beach High School,101125.0,2018-19,8.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Rainier View Elementary School,School,Rainier View Elementary School,3380.0,Rainier View Elementary School,101128.0,2018-19,9.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Residential Consortium,School,Residential Consortium,4263.0,Residential Consortium,101176.0,2018-19,20.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Rising Star Elementary School,School,Rising Star Elementary School,2120.0,Rising Star Elementary School,101051.0,2018-19,10.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Robert Eagle Staff Middle School,School,Robert Eagle Staff Middle School,5486.0,Robert Eagle Staff Middle School,106069.0,2018-19,9.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Roosevelt High School,School,Roosevelt High School,2285.0,Roosevelt High School,101079.0,2018-19,13.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Roxhill Elementary School,School,Roxhill Elementary School,3157.0,Roxhill Elementary School,101120.0,2018-19,8.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Sacajawea Elementary School,School,Sacajawea Elementary School,3028.0,Sacajawea Elementary School,101116.0,2018-19,11.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Salmon Bay K-8 School,School,Salmon Bay K-8 School,1796.0,Salmon Bay K-8 School,101006.0,2018-19,10.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Sand Point Elementary,School,Sand Point Elementary,5205.0,Sand Point Elementary,105168.0,2018-19,7.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Sanislo Elementary School,School,Sanislo Elementary School,3665.0,Sanislo Elementary School,101137.0,2018-19,12.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1,District,Seattle School District #1,,District Total,,2018-19,10.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle Skills Center,School,Seattle Skills Center,5260.0,Seattle Skills Center,105454.0,2018-19,9.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle World School,School,Seattle World School,1596.0,Seattle World School,100989.0,2018-19,13.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,South Lake High School,School,South Lake High School,3778.0,South Lake High School,101144.0,2018-19,7.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,South Shore PK-8 School,School,South Shore PK-8 School,4218.0,South Shore PK-8 School,101173.0,2018-19,7.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Stephen Decatur Elementary School,School,Stephen Decatur Elementary School,5488.0,Stephen Decatur Elementary School,106071.0,2018-19,5.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Stevens Elementary School,School,Stevens Elementary School,2080.0,Stevens Elementary School,101041.0,2018-19,10.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,The Center School,School,The Center School,1856.0,The Center School,101013.0,2018-19,12.1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Thornton Creek Elementary School,School,Thornton Creek Elementary School,3974.0,Thornton Creek Elementary School,101159.0,2018-19,10.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Thurgood Marshall Elementary,School,Thurgood Marshall Elementary,2141.0,Thurgood Marshall Elementary,101056.0,2018-19,9.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Tops K-8 School,School,Tops K-8 School,1579.0,Tops K-8 School,100976.0,2018-19,10.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,View Ridge Elementary School,School,View Ridge Elementary School,2667.0,View Ridge Elementary School,101099.0,2018-19,12.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Viewlands Elementary School,School,Viewlands Elementary School,2977.0,Viewlands Elementary School,101113.0,2018-19,9.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Washington Middle School,School,Washington Middle School,4064.0,Washington Middle School,101167.0,2018-19,9.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Wedgwood Elementary School,School,Wedgwood Elementary School,3026.0,Wedgwood Elementary School,101114.0,2018-19,11.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,West Seattle Elementary School,School,West Seattle Elementary School,2645.0,West Seattle Elementary School,101098.0,2018-19,8.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,West Seattle High School,School,West Seattle High School,2234.0,West Seattle High School,101072.0,2018-19,11.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,West Woodland Elementary School,School,West Woodland Elementary School,2142.0,West Woodland Elementary School,101057.0,2018-19,13.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Whitman Middle School,School,Whitman Middle School,3277.0,Whitman Middle School,101124.0,2018-19,12.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Whittier Elementary School,School,Whittier Elementary School,2092.0,Whittier Elementary School,101047.0,2018-19,11.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Wing Luke Elementary School,School,Wing Luke Elementary School,3581.0,Wing Luke Elementary School,101136.0,2018-19,9.6
